iter	Passed	Remaining
0	1	1351
1	2	1162
2	3	1133
3	4	1095
4	5	1091
5	6	1096
6	7	1126
7	8	1112
8	10	1110
9	11	1103
10	12	1108
11	13	1109
12	14	1108
13	15	1096
14	16	1086
15	17	1076
16	18	1077
17	19	1070
18	20	1063
19	21	1062
20	24	1148
21	25	1140
22	26	1133
23	27	1125
24	28	1116
25	29	1109
26	30	1100
27	31	1093
28	32	1087
29	33	1086
30	34	1082
31	35	1082
32	36	1078
33	38	1082
34	39	1080
35	40	1079
36	41	1076
37	42	1072
38	43	1066
39	44	1060
40	45	1059
41	46	1055
42	47	1057
43	48	1055
44	49	1051
45	50	1048
46	51	1045
47	52	1048
48	53	1047
49	55	1045
50	55	1041
51	56	1038
52	57	1034
53	58	1033
54	59	1029
55	60	1027
56	61	1024
57	63	1023
58	64	1021
59	65	1020
60	66	1017
61	67	1016
62	68	1015
63	69	1017
64	70	1015
65	71	1014
66	72	1013
67	73	1010
68	74	1009
69	75	1009
70	77	1008
71	78	1007
72	79	1005
73	80	1002
74	81	1001
75	82	1000
76	83	997
77	84	996
78	85	994
79	86	992
80	87	990
81	88	988
82	89	987
83	90	985
84	91	983
85	92	982
86	93	980
87	94	978
88	95	976
89	96	978
90	97	976
91	98	976
92	100	976
93	101	974
94	102	973
95	103	971
96	104	969
97	105	968
98	106	966
99	107	967
100	108	965
101	109	963
102	110	961
103	111	959
104	112	957
105	113	955
106	114	953
107	115	952
108	116	950
109	117	949
110	118	947
111	119	945
112	120	943
113	121	942
114	122	941
115	123	939
116	124	938
117	125	936
118	126	934
119	127	933
120	128	933
121	129	931
122	130	932
123	131	930
124	132	929
125	133	928
126	134	926
127	135	925
128	136	924
129	137	923
130	138	921
131	139	919
132	140	918
133	141	916
134	142	915
135	143	914
136	144	912
137	145	911
138	147	911
139	148	910
140	149	910
141	150	909
142	151	908
143	152	906
144	153	905
145	154	903
146	155	901
147	156	899
148	157	898
149	158	897
150	159	897
151	160	895
152	162	897
153	163	896
154	164	894
155	165	894
156	166	892
157	167	891
158	168	890
159	169	889
160	170	887
161	171	885
162	172	884
163	173	883
164	174	881
165	175	880
166	176	879
167	177	880
168	178	878
169	179	878
170	180	877
171	181	875
172	182	874
173	183	873
174	184	871
175	185	869
176	186	868
177	187	867
178	188	865
179	189	864
180	190	863
181	192	863
182	193	863
183	194	862
184	195	861
185	196	860
186	197	859
187	198	858
188	199	857
189	200	856
190	201	854
191	202	853
192	203	852
193	204	851
194	205	849
195	207	849
196	208	849
197	209	849
198	210	848
199	211	847
200	212	845
201	213	844
202	214	843
203	215	841
204	216	840
205	217	839
206	218	838
207	219	836
208	220	835
209	221	834
210	223	834
211	224	834
212	225	834
213	226	832
214	227	831
215	228	829
216	229	829
217	230	827
218	231	826
219	232	825
220	235	828
221	236	828
222	237	828
223	239	830
224	240	829
225	242	829
226	243	828
227	244	827
228	245	826
229	247	829
230	249	831
231	252	837
232	255	840
233	257	843
234	259	844
235	260	844
236	262	845
237	264	846
238	267	851
239	272	862
240	275	866
241	277	867
242	278	868
243	280	869
244	282	870
245	286	879
246	288	879
247	290	880
248	292	880
249	293	880
250	294	879
251	296	878
252	297	877
253	298	876
254	300	876
255	302	879
256	303	878
257	305	879
258	307	879
259	309	880
260	311	880
261	313	883
262	315	885
263	318	887
264	320	888
265	321	886
266	322	885
267	323	883
268	324	882
269	325	881
270	327	880
271	328	879
272	329	878
273	330	876
274	332	876
275	333	875
276	334	873
277	335	872
278	337	871
279	338	869
280	339	868
281	340	866
282	341	864
283	342	863
284	343	861
285	344	860
286	346	859
287	348	861
288	349	860
289	350	859
290	352	857
291	353	856
292	354	856
293	355	854
294	357	853
295	358	852
296	359	850
297	360	849
298	361	847
299	363	847
300	364	845
301	365	844
302	366	843
303	367	841
304	368	840
305	369	839
306	371	837
307	372	836
308	373	835
309	375	835
310	376	834
311	377	833
312	379	832
313	381	832
314	382	831
315	383	830
316	384	828
317	386	828
318	387	826
319	388	825
320	389	823
321	390	822
322	391	820
323	392	819
324	394	818
325	395	817
326	396	815
327	397	814
328	398	813
329	399	811
330	401	810
331	402	809
332	403	807
333	404	806
334	405	805
335	406	804
336	408	803
337	410	804
338	412	803
339	413	802
340	414	801
341	415	800
342	417	798
343	418	797
344	419	795
345	420	794
346	421	793
347	422	791
348	423	790
349	425	789
350	426	788
351	427	787
352	428	785
353	429	784
354	430	782
355	431	781
356	432	779
357	434	778
358	435	777
359	436	775
360	437	775
361	439	774
362	441	774
363	442	772
364	443	771
365	444	769
366	445	768
367	446	766
368	447	765
369	448	763
370	449	762
371	450	760
372	451	759
373	452	757
374	453	756
375	455	755
376	456	754
377	457	753
378	458	752
379	460	750
380	461	749
381	462	747
382	463	746
383	464	745
384	465	743
385	467	743
386	469	743
387	470	742
388	471	740
389	472	739
390	473	738
391	474	736
392	475	734
393	476	733
394	477	731
395	478	730
396	479	728
397	480	727
398	481	725
399	483	724
400	484	723
401	485	721
402	486	720
403	487	719
404	488	717
405	489	716
406	490	714
407	491	713
408	492	711
409	493	710
410	494	708
411	495	707
412	496	706
413	498	705
414	499	704
415	500	703
416	502	702
417	503	701
418	504	699
419	505	698
420	506	697
421	507	695
422	508	694
423	510	692
424	511	691
425	512	689
426	513	688
427	514	687
428	515	685
429	516	684
